,product_id,customer_id,campaign_id,clicks,original_price,discount_price,click_revenue,disc,cluster
63,78749,171.0,7883.0,2.0,86000.0,68890.0,137780.0,0.19895348837209303,2
64,78750,171.0,8353.0,49.5,59000.0,47260.0,2339370.0,0.19898305084745763,2
65,78751,171.0,7883.0,1.0,86000.0,68890.0,68890.0,0.19895348837209303,2
66,78756,171.0,8445.666666666666,573.0,49900.0,22200.0,12720600.0,0.5551102204408818,0
67,78757,171.0,8445.666666666666,664.0,98900.0,40900.0,27157600.0,0.5864509605662285,0
68,78758,171.0,8445.666666666666,120.33333333333333,69900.0,27200.0,3273066.6666666665,0.6108726752503576,0
69,78759,171.0,7885.0,54.0,21900.0,21900.0,1182600.0,0.0,2
70,78760,171.0,8445.666666666666,15.333333333333334,69900.0,26500.0,406333.3333333333,0.6208869814020028,0
71,78761,171.0,8445.666666666666,14.666666666666666,69900.0,34900.0,511866.6666666667,0.5007153075822603,0
72,78762,171.0,7885.0,57.0,132900.0,132900.0,7575300.0,0.0,2
73,78763,171.0,7885.0,32.0,132900.0,132900.0,4252800.0,0.0,2
74,78764,171.0,9458.0,232.0,66900.0,45500.0,10556000.0,0.31988041853512705,0
75,78765,171.0,7892.0,22.0,46300.0,32410.0,713020.0,0.3,2
76,78766,171.0,7892.0,24.0,37400.0,26180.0,628320.0,0.3,2
77,78767,171.0,7892.0,11.0,33000.0,23100.0,254100.0,0.3,2
78,78769,171.0,7895.0,38.0,39900.0,35910.0,1364580.0,0.1,2
79,78770,171.0,7895.0,132.0,59900.0,53910.0,7116120.0,0.1,2
80,78771,171.0,7895.0,7.0,59800.0,59800.0,418600.0,0.0,2
81,78772,171.0,7895.0,5.0,39000.0,35100.0,175500.0,0.1,2
82,78773,171.0,7895.0,7.0,39900.0,35910.0,251370.0,0.1,2
83,78876,171.0,8284.5,140.5,165900.0,59310.0,8333055.0,0.6424954792043399,0
84,78877,171.0,8284.5,47.0,104000.0,93600.0,4399200.0,0.1,2
85,78878,171.0,8284.5,31.0,109000.0,98100.0,3041100.0,0.1,2
86,78879,171.0,8284.5,5.5,99000.0,89100.0,490050.0,0.1,2
87,78880,171.0,8284.5,4.0,119000.0,107100.0,428400.0,0.1,2
88,78881,171.0,8648.0,7.0,149000.0,134100.0,938700.0,0.1,2
89,78882,171.0,8284.5,8.0,279000.0,251100.0,2008800.0,0.1,2
90,78883,171.0,8284.5,5.0,165900.0,149310.0,746550.0,0.1,2
91,78884,171.0,8284.5,5.5,149900.0,134910.0,742005.0,0.1,2
92,79297,171.0,11666.0,47.0,401000.0,380950.0,17904650.0,0.05,2
93,79298,171.0,11666.0,22.5,789000.0,749550.0,16864875.0,0.05,2
94,79299,171.0,11666.0,21.5,1185000.0,1125750.0,24203625.0,0.05,1
97,79304,171.0,10825.0,33.333333333333336,407000.0,386650.0,12888333.333333334,0.05000000000000001,2
98,79305,171.0,9143.0,30.0,807000.0,750510.0,22515300.0,0.07,2
99,79306,171.0,10825.0,24.666666666666668,1191000.0,1131450.0,27909100.0,0.05000000000000001,1
101,79308,171.0,9245.0,29.333333333333332,87780.0,79010.0,2317626.6666666665,0.0999088630667578,2
102,79310,171.0,11324.0,3.4,3520000.0,3168000.0,10771200.0,0.1,1
103,79313,171.0,9798.2,255.2,54900.0,49410.0,12609432.0,0.1,2
104,79326,171.0,10407.8,16.2,1331000.0,1264450.0,20484090.0,0.05,1
105,79328,171.0,8903.666666666666,5.333333333333333,1402000.0,1331900.0,7103466.666666667,0.05000000000000001,1
106,79333,171.0,11582.666666666666,42.0,108000.0,50000.0,2100000.0,0.5370370370370371,0
107,79334,171.0,11582.666666666666,123.0,132000.0,89900.0,11057700.0,0.31893939393939397,0
108,79335,171.0,11582.666666666666,50.0,53000.0,38900.0,1945000.0,0.2660377358490566,2
109,79336,171.0,8967.0,13.333333333333334,29900.0,25030.0,333733.3333333333,0.162876254180602,2
110,79355,171.0,11089.4,30.8,59000.0,53100.0,1635480.0,0.1,2
111,79356,171.0,11089.4,53.2,99000.0,89100.0,4740120.0,0.1,2
112,79357,171.0,8856.333333333334,5.0,10900.0,10900.0,54500.0,0.0,2
113,79358,171.0,8856.333333333334,118.0,32700.0,20900.0,2466200.0,0.36085626911314983,0
114,79365,171.0,9307.666666666666,1.6666666666666667,1465980.0,1282740.0,2137900.0,0.12499488396840337,1
115,79368,171.0,8709.333333333334,2.0,2608430.0,2282380.0,4564760.0,0.12499856235359967,1
116,79369,171.0,8352.0,4.0,2499560.0,2174620.0,8698480.0,0.1299988798028453,1
117,79371,171.0,12797.0,3.0,853200.0,767880.0,2303640.0,0.1,2
118,79374,171.0,8114.5,4.5,2160000.0,2039800.0,9179100.0,0.05564814814814815,1
119,79378,171.0,9027.166666666666,3.0,1112550.0,912300.0,2736900.0,0.17999191047593366,1
120,79400,171.0,8774.0,1073.0,44000.0,17900.0,19206700.0,0.5931818181818181,0
121,79401,171.0,8774.0,275.0,56000.0,23900.0,6572500.0,0.5732142857142857,0
122,79402,171.0,8774.0,240.0,56000.0,23900.0,5736000.0,0.5732142857142857,0
123,79405,171.0,9900.0,698.5,56000.0,22900.0,15995650.0,0.5910714285714286,0
124,79413,171.0,8784.0,65.0,49000.0,49000.0,3185000.0,0.0,2
125,79418,171.0,9887.0,303.3333333333333,85900.0,69580.0,21105933.333333332,0.189988358556461,0
126,79419,171.0,10245.5,29.5,47000.0,42300.0,1247850.0,0.1,2
127,79420,171.0,10245.5,8.5,69700.0,62730.0,533205.0,0.1,2
128,79421,171.0,10245.5,65.5,39000.0,35100.0,2299050.0,0.1,2
129,79422,171.0,8852.0,5.0,69000.0,55890.0,279450.0,0.19,2
130,79423,171.0,10245.5,9.0,48000.0,43200.0,388800.0,0.1,2
131,79438,171.0,7884.0,2.0,39900.0,39900.0,79800.0,0.0,2
132,79439,171.0,9465.0,27.5,30900.0,25870.0,711425.0,0.1627831715210356,2
133,79465,171.0,12240.0,1.0,39000.0,32650.0,32650.0,0.16282051282051282,2
134,79470,171.0,10599.0,81.0,705000.0,690900.0,55962900.0,0.02,2
135,79471,171.0,10599.0,112.66666666666667,909500.0,891310.0,100420926.66666667,0.02,2
136,79472,171.0,7878.0,68.0,3264310.0,2807310.0,190897080.0,0.13999895843225674,1
