,customer_id,campaign_id,activity_type,viewers,pageviews,duration,chats,likes,date,clicks,original_price,discount_price,click_revenue,product_id
502,171,11429,live,1693,2067,388010.654,12,1014,2023-09-14,270,123800,105860,15050340,2
503,171,9454,live,1693,1958,324822.749,81,386,2023-08-03,178,194140,173830,5034810,5
504,171,9445,live,1695,1913,237977.788,8,1339,2023-08-01,183,52900,47610,8712630,1
505,171,7921,live,1696,1945,315088.427,16,592,2023-05-26,315,1191700,982530,23512860,8
506,171,11956,live,1696,1886,155818.987,47,311,2023-10-05,342,158000,142200,24262200,2
507,171,11551,live,1701,2120,351407.943,77,195,2023-09-13,401,43000,31000,12113700,2
508,171,9014,live,1702,1883,270177.866,3,105,2023-07-11,140,25900,23310,3263400,1
509,171,12250,live,1703,1936,129825.373,9,29,2023-10-19,500,210600,188640,22874400,4
510,171,11442,live,1703,2062,349591.072,0,12,2023-09-15,103,253000,253000,4498000,7
511,171,11265,live,1705,2106,357189.622,5,62,2023-09-06,326,50893000,48269320,518365870,16
512,17,7452,live,1709,3587,1640674.812,1917,19051,2023-04-25,9447,45455000,45455000,5297135000,88
513,171,8943,live,1712,1938,263692.099,6,28,2023-07-15,190,110800,99720,9389700,2
514,171,10852,live,1712,1948,279021.419,20,231,2023-08-25,233,38900,35010,8157330,1
515,171,12614,live,1714,1920,152256.645,73,861,2023-10-18,329,103500,75500,8464000,3
516,171,12033,live,1721,1886,111164.76,0,3,2023-10-10,87,512800,461520,6712740,6
517,171,8945,live,1722,1954,266604.938,4,17,2023-07-16,431,210600,188640,19327410,4
518,171,10838,live,1723,2009,333423.443,290,77,2023-08-23,219,240700,192840,7914550,5
519,171,9164,live,1723,1961,308019.503,50,867,2023-07-21,227,663720,581110,6598950,10
520,82,8967,live,1724,2410,672908.527,497,5256,2023-07-27,4580,2190000,1264700,463205400,12
521,171,8525,live,1726,1959,270209.17,8,47,2023-06-21,95,398000,388000,18430000,2
522,171,9465,live,1726,2046,366545.926,335,1243,2023-08-04,381,184400,118070,8591170,6
523,171,7906,live,1726,1969,275505.234,2,7,2023-06-01,323,265500,238050,14519430,5
524,171,8467,live,1727,1958,255462.611,4,545,2023-06-19,364,210600,188640,16334640,4
525,171,12225,live,1730,2110,173193.836,74,450,2023-10-16,695,882270,751020,62498010,12
526,171,12244,live,1733,1964,139660.397,7,105,2023-10-19,266,647500,582750,22228020,7
527,171,11949,live,1734,1927,162174.803,30,681,2023-10-04,295,37182000,35284900,330661750,24
528,171,7910,live,1735,1946,249280.71,32,927,2023-06-03,173,73400,68270,6046720,2
529,171,12000,live,1736,1884,111668.147,1,3239,2023-10-05,199,525652,473110,6759830,12
530,171,7886,live,1739,1971,284815.18,11,42,2023-05-30,101,548500,412830,6023760,4
531,171,8815,live,1741,1939,272507.566,0,1136,2023-07-04,180,39890,35910,6463800,1
532,171,8783,live,1742,1995,309939.085,43,107,2023-07-05,590,583600,488570,23227040,12
533,171,7899,live,1743,1987,295693.888,14,323,2023-06-01,142,12379000,11512470,110861580,13
534,171,10831,live,1744,2009,357744.336,309,778,2023-08-22,380,136440,106640,9550230,3
535,171,12053,live,1744,1974,138437.001,4,71,2023-10-13,302,197600,160060,10432130,4
536,171,10845,live,1749,2025,307380.601,48,261,2023-08-24,314,97600,81730,6867500,4
537,171,11054,live,1750,2074,357455.498,9,50,2023-09-01,236,1117400,1005660,18294120,13
538,171,12227,live,1754,1977,131020.978,53,83,2023-10-16,244,422100,379890,10697940,9
539,171,11863,live,1756,2020,189669.774,11,333,2023-09-20,438,161700,122700,12163200,5
540,171,8108,live,1760,2018,296495.731,85,830,2023-06-08,356,78700,65890,6553070,3
541,171,11037,live,1761,2129,373234.35,121,409,2023-08-30,324,163500,139800,16160450,3
542,171,11385,live,1761,2095,349758.455,14,61,2023-09-06,133,281100,266100,7366500,5
543,171,10737,live,1763,1974,263224.641,0,23,2023-08-19,180,18097910,15757100,108986120,20
544,171,11436,live,1765,2080,364233.604,10,98,2023-09-14,292,293900,264510,15140160,7
545,171,12226,live,1765,1985,165909.282,38,158,2023-10-16,341,1460540,1237730,13149700,18
546,171,10715,live,1765,2033,283541.108,0,8,2023-08-14,142,122600,101930,3730810,4
547,171,8705,live,1765,1956,297083.825,24,92,2023-07-04,207,163700,144630,9979470,3
548,171,10832,live,1766,1985,347721.138,72,174,2023-08-22,185,0,0,0,1
549,171,11649,live,1766,2054,234930.304,75,242,2023-09-17,496,231500,208350,26687160,5
550,171,8520,live,1771,2085,345176.746,49,94,2023-06-20,139,38710000,26129250,403116750,9
551,171,12248,live,1775,2047,150026.08,24,257,2023-10-19,104,238600,175450,3805970,4
552,171,8921,live,1776,2048,335521.061,31,1004,2023-07-11,336,164000,108000,8228800,6
553,171,12031,live,1777,2039,171568.877,74,17,2023-10-10,788,1078900,966860,29598170,17
554,171,11411,live,1779,2057,331669.537,6,10,2023-09-11,143,12724760,10539530,91263710,10
555,141,8803,live,1779,2107,146718.715,285,7494,2023-07-04,457,1155900,680300,39003100,9
556,171,11532,live,1780,2160,383276.649,23,160,2023-09-13,443,140100,48600,3899100,6
557,171,9515,live,1783,2002,322285.248,10,213,2023-08-02,344,194400,172890,9182250,6
558,171,8793,live,1784,2029,324663.254,47,568,2023-07-07,407,112600,80050,7913210,4
559,171,7888,live,1784,2021,292373.562,2,6,2023-05-30,298,265500,238050,13456080,5
560,171,12039,live,1785,1974,120525.819,1,7,2023-10-11,203,185500,166540,10335510,3
561,171,11213,live,1785,2147,353186.6,55,6434,2023-09-07,199,81800,73620,7304490,2
562,10,7369,live,1786,2325,434879.913,170,4829,2023-04-25,2728,1431500,952700,68161900,51
563,171,10175,live,1790,1983,288320.747,21,442,2023-08-13,285,314400,282960,13276350,6
564,82,8957,live,1795,2516,757866.095,894,9536,2023-08-01,6152,8779001,4812360,347907210,100
565,171,8990,live,1798,2031,298235.356,16,94,2023-07-13,199,79800,79800,7690100,2
566,171,12810,live,1800,2000,150955.423,18,440,2023-10-26,220,19800,17800,3916000,1
567,171,8816,live,1802,2046,286870.395,1,26,2023-07-06,140,224100,201700,7321100,4
568,171,8517,live,1802,2026,313768.944,18,8,2023-06-20,207,97700,70300,4499040,3
569,171,9513,live,1803,2009,266911.949,1,11,2023-08-10,134,268320,241500,6382100,5
570,171,8096,live,1806,2060,281578.813,2,44,2023-06-06,394,265500,238050,17888940,5
571,171,11221,live,1806,2167,356996.155,26,4,2023-09-08,160,49900,44910,7185600,1
572,171,11683,live,1806,2087,199431.8,28,52,2023-09-22,569,82000,68660,17256480,4
573,141,7995,live,1809,2047,137550.231,137,8268,2023-05-25,462,523900,260500,22607500,5
574,171,11428,live,1812,2207,396377.687,84,120,2023-09-13,307,181600,152030,10583250,4
575,171,11667,live,1816,2131,180772.793,17,167,2023-09-20,277,576200,482320,13260230,6
576,171,12663,live,1816,2047,140043.894,13,15,2023-10-24,343,67800,56760,10782890,2
577,171,8773,live,1818,2026,287031.168,74,652,2023-07-03,296,156400,140760,7791120,6
578,171,8790,live,1818,2085,329346.81,37,31,2023-07-06,456,77700,66060,8743860,3
579,171,10545,live,1821,2065,311906.449,43,1281,2023-08-11,153,166320,152170,7315320,6
580,171,8117,live,1823,2072,268664.229,10,35,2023-06-11,392,210600,188640,17424720,4
581,171,8786,live,1823,2023,275264.12,9,48,2023-07-05,153,314400,282960,7091730,6
582,171,10833,live,1825,2072,291787.818,4,10,2023-08-22,392,210600,188640,17474220,4
583,171,10825,live,1830,2107,299664.033,143,736,2023-08-21,137,1614500,1582210,111487740,2
584,82,5016,live,1830,2447,884027.224,3417,20318,2022-12-21,2382,10120000,10120000,614130000,46
585,51,7803,live,1830,2073,236532.493,1483,2119,2023-05-30,756,2868900,2335400,276467900,11
586,171,11203,live,1832,2298,376251.795,98,323,2023-09-05,711,948310,807150,85141050,12
587,82,5015,live,1835,2465,815598.864,461,2183,2022-12-14,2393,4886000,3798350,603514700,18
588,171,9450,live,1837,2087,352155.54,73,1340,2023-08-02,337,210800,180270,12284680,5
589,171,12774,live,1838,2023,118918.005,11,6,2023-10-31,243,210600,188640,10822230,4
590,171,12676,live,1839,2159,196584.204,17,560,2023-10-26,817,237000,89700,25848300,3
591,171,11441,live,1839,2324,380487.663,105,45,2023-09-15,313,238400,210630,29901330,3
592,164,9404,live,1851,3077,325435.768,293,9113,2023-08-03,1849,3547000,2660250,134050500,31
593,171,11050,live,1854,2217,424096.775,50,196,2023-09-01,216,184000,165600,12442500,3
594,171,12052,live,1855,2097,152480.636,116,2421,2023-10-13,320,1580000,311140,18270260,5
595,171,11036,live,1856,2209,408996.866,100,797,2023-08-29,399,178400,105500,8821100,5
596,171,12665,live,1857,2057,110465.647,1,4,2023-10-24,330,210600,188640,14639400,4
597,171,11490,live,1858,2273,340175.788,13,1500,2023-09-12,311,47100,42400,4788800,3
598,171,11057,live,1859,2206,376495.722,8,13,2023-09-02,378,67800,54920,9237780,2
599,171,8622,live,1859,2140,345425.092,38,222,2023-06-27,842,718800,445490,29231420,13
600,171,9148,live,1859,2076,303053.219,16,120,2023-07-18,116,2291000,1997400,24420800,11
601,171,11056,live,1868,2202,355438.898,8,185,2023-09-02,206,52900,47610,9807660,1
602,171,12251,live,1868,2087,157136.478,6,26,2023-10-19,355,38395400,36475630,321197660,25
603,171,11206,live,1875,2246,367402.1,84,716,2023-09-06,247,930000,767030,41195620,4
604,171,8519,live,1876,2117,314054.914,24,158,2023-06-20,200,3181800,2815480,67021000,10
605,171,9514,live,1884,2101,309146.891,8,19,2023-08-11,177,164440,148000,11173000,2
606,171,8917,live,1885,2076,278929.556,2,56,2023-07-10,71,27489600,23422930,82853630,22
607,171,9279,live,1896,3005,481957.979,533,4865,2023-07-26,4135,1418600,1063950,277978350,16
608,171,11661,live,1898,2228,188671.329,22,12,2023-09-19,280,61800,55620,8564400,2
