timestamp,customer_id,campaign_id,uid,user_id,name,gender,age,ip,connected_at,duration,live_cdn_platform,write_count,adore_count,talkable,on_close,os_type,version,ad_id,svtm,video_delay,activity_type,created_at,user_privilege,page_view,app_version,web_version,ad_identifier,utm_source,utm_campaign,utm_content,utm_medium
2023-12-01 14:13:12.763000 UTC,141,13754,392612951561588339|,14254633|,a2516285,u,,"211.168.205.163, 3.37.236.216",2023-12-01 14:05:07.122000 UTC,485556,-,0,1,FALSE,FALSE,a,1.4.9,,2023-11-30 11:08:12.567000 UTC,,replay,2023-12-01 14:13:12.763000 UTC,0,0,,,,,,,
2023-12-01 14:13:09.299000 UTC,141,13754,1048715853866610082|,|,,,,"121.139.200.250, 3.37.236.216",2023-12-01 14:13:03.085000 UTC,6124,-,0,0,FALSE,FALSE,a,1.4.9,,2023-11-30 11:00:02.685000 UTC,,replay,2023-12-01 14:13:09.299000 UTC,0,0,,,,,,,
2023-12-01 14:13:03.027000 UTC,141,13754,1048715853866610082|,|,,,,"121.139.200.250, 13.124.154.181",2023-12-01 14:13:03.085000 UTC,1,-,0,0,FALSE,FALSE,a,1.4.9,,,,replay,2023-12-01 14:13:03.027000 UTC,0,0,,,,,,,
2023-12-01 14:13:02.654000 UTC,141,13754,392612951561588339|,14254633|,a2516285,u,,"211.168.205.163, 13.124.154.181",2023-12-01 14:05:07.122000 UTC,475536,-,0,1,FALSE,FALSE,a,1.4.9,,2023-11-30 11:08:02.208000 UTC,,replay,2023-12-01 14:13:02.654000 UTC,0,0,,,,,,,
2023-12-01 14:12:52.721000 UTC,141,13754,392612951561588339|,14254633|,a2516285,u,,"211.168.205.163, 3.37.236.216",2023-12-01 14:05:07.122000 UTC,465519,-,0,1,FALSE,FALSE,a,1.4.9,,2023-11-30 11:07:52.836000 UTC,,replay,2023-12-01 14:12:52.721000 UTC,0,0,,,,,,,
2023-12-01 14:12:43.200000 UTC,141,13754,392612951561588339|,14254633|,a2516285,u,,"211.168.205.163, 13.124.154.181",2023-12-01 14:05:07.122000 UTC,455991,-,0,1,FALSE,FALSE,a,1.4.9,,2023-11-30 11:07:43.063000 UTC,,replay,2023-12-01 14:12:43.200000 UTC,0,0,,,,,,,
2023-12-01 14:12:33.102000 UTC,141,13754,392612951561588339|,14254633|,a2516285,u,,"211.168.205.163, 3.37.236.216",2023-12-01 14:05:07.122000 UTC,445968,-,0,1,FALSE,FALSE,a,1.4.9,,2023-11-30 11:07:32.419000 UTC,,replay,2023-12-01 14:12:33.102000 UTC,0,0,,,,,,,
2023-12-01 14:12:23.079000 UTC,141,13754,392612951561588339|,14254633|,a2516285,u,,"211.168.205.163, 13.124.154.181",2023-12-01 14:05:07.122000 UTC,435950,-,0,1,FALSE,FALSE,a,1.4.9,,2023-11-30 11:07:22.389000 UTC,,replay,2023-12-01 14:12:23.079000 UTC,0,0,,,,,,,
2023-12-01 14:12:13.053000 UTC,141,13754,392612951561588339|,14254633|,a2516285,u,,"211.168.205.163, 13.124.154.181",2023-12-01 14:05:07.122000 UTC,425932,-,0,1,FALSE,FALSE,a,1.4.9,,2023-11-30 11:07:12.833000 UTC,,replay,2023-12-01 14:12:13.053000 UTC,0,0,,,,,,,
2023-12-01 14:12:03.121000 UTC,141,13754,392612951561588339|,14254633|,a2516285,u,,"211.168.205.163, 3.37.236.216",2023-12-01 14:05:07.122000 UTC,415909,-,0,1,FALSE,FALSE,a,1.4.9,,2023-11-30 11:07:02.230000 UTC,,replay,2023-12-01 14:12:03.121000 UTC,0,0,,,,,,,
